"ID","Cognateset_ID","Language_ID","Form","Source","Host","Comment"
"aku_1k",12,"akur1238","kɨ-; k-","meira1998proto[111]","V",
"aku_1t","1a","akur1238","t-; t͡ʃ-","meira1998proto[111]","V",
"aku_1w","1sa","akur1238","wɨ-; w-; Ø","meira1998proto[111]","V",
"aku_1a","3i","akur1238","wi-; w-; i-; Ø","meira1998proto[111]; gildea1994akuriyo","V","causes umlaut, shows variation as to loss of obj:w"
"aku_12",12,"akur1238","kɨ-; k-","meira1998proto[103]","V","no umlaut"
"aku_2a","2a; 3i","akur1238","mi-; m-","meira1998proto[101]","V","causes umlaut"
"aku_2sa","2a","akur1238","mɨ-; m-","meira1998proto[112]","V","no umlaut"
"aku_12sa","12a","akur1238","kɨt-; kɨ-; kɨh-; kV-","meira1998proto[112--115]","V","no umlaut"
"aku_12a","12a; 3i","akur1238","kəʔi-; kɨʔi-; kəʔ-; kɨt-","meira1998proto[101]","V","causes umlaut"
"aku_3a","3n; 3i","akur1238","ni-; n-","meira1998proto[104]","V","causes umlaut"
"aku_2p","2p","akur1238","ə-; o-; a-","meira1998proto[75]","V","causes umlaut"
"aku_1p","1p; link","akur1238","jV-; V-","meira1998proto[75]","V","causes umlaut"
"aku_3s","3n","akur1238","n-; nɨ-","meira1998proto[112--115]","V","no umlaut"
"apa_3pst","3ky; 3n","apal1257","kɨnɨ-; kɨn-","koehn1986apalai[108]","V","causes umlaut"
"apa_3","3n","apal1257","nɨ-; n-","koehn1986apalai[108]","V","causes umlaut"
"apa_t","t","apal1257","t-","koehn1986apalai[109]","V",
"apa_13pro","13pro","apal1257","ɨna","koehn1986apalai[95]",,"Bound counterpart: morph:apa_13pre."
"apa_13pre","13pro","apal1257","ɨna-","koehn1986apalai[95]",,"Free counterpart: morph:apa_13pro."
"apa_3i","3i","apal1257","i-; Ø-; z-","koehn1986apalai[61]","V","obj:z- before /u/ (src:koehn1986apalai[97])"
"apa_1a","1sa","apal1257","wɨ-; w-; ɨ-; Ø","koehn1986apalai[108]","V","causes umlaut"
"apa_1p","1p; link","apal1257","jɨ-; j-","koehn1986apalai[108]","V; N","causes umlaut"
"apa_2p","2p","apal1257","o-; a-","koehn1986apalai[108]","V","causes umlaut"
"apa_12a","12a","apal1257","sɨ-; s-","koehn1986apalai[108]","V","causes umlaut"
"apa_2a","2a","apal1257","mɨ-; m-","koehn1986apalai[108]","V","causes umlaut"
"apa_12","uku; link","apal1257","ku-; k-; kɨ-","koehn1986apalai[108]","V","obj:k- before /u/; obj:kɨ- before consonants (src:koehn1965verb[11])."
"apa_detrz","refl; recp","apal1257","os-; ot-; at-; e-","koehn1986apalai[43]","V",
"apa_topo","topo","apal1257","-topo","koehn1986apalai[90]","V",
"apa_agnom","ne","apal1257","-ne","koehn1986apalai[92]","V",
"apa_sup","sup","apal1257","-se","koehn1986apalai[77]","V",
"apa_inf","inf","apal1257","-Ṽko; -noko","koehn1986apalai[100]","V","also contains reflex of *poko 'occ.with'; can occur with TR or INTR"
"apa_ri","ri","apal1257","-rɨ","koehn1986apalai[78]","V",
"apa_neg","neg_adv","apal1257","-pɨra; -ra","koehn1986apalai[64]","V","obj:-ra after /a/"
"apa_negnom","neg_nom","apal1257","-pɨnɨ; -pɨ̃","koehn1986apalai[64]","V","unclear if same morpheme, different interpretations (S/A vs S/P pivot)"
"bak_1a","1a","baka1277","s-; ʃ-","meira2003bakairi[2]","V","causes umlaut"
"bak_1p","1p","baka1277","ɨ-; j-; Ø","meira2003bakairi[2]","V","causes umlaut"
"bak_2a","2a","baka1277","m-","meira2003bakairi[2]","V","causes umlaut"
"bak_2p","2p","baka1277","ə-; o-; Ø","meira2003bakairi[2]","V","causes umlaut, obj:ə- + /e/ = /i/"
"bak_12a","12a","baka1277","kɨd-; kɨz-; kɨdɨ-","meira2003bakairi[2]","V","causes umlaut"
"bak_12",12,"baka1277","kɨ-; k-; ku-","meira2003bakairi[2]","V","no umlaut"
"bak_3n","3n","baka1277","n-","meira2003bakairi[2]","V","causes umlaut"
"bak_3i","3i","baka1277","i-; Ø-","meira2003bakairi[2]","N",
"bak_1sa","1sa","baka1277","w-","meira2003bakairi[4]","V","no umlaut"
"bak_1new","12; pnmlz","baka1277","kə̃-; k~-","meira2003bakairi[5]","V",
"bak_2new","2a; pnmlz","baka1277","mə̃-; m~-","meira2003bakairi[5]","V",
"bak_12new","12; pnmlz","baka1277","ki~-","meira2003bakairi[5]","V",
"bak_3inew","3i; pnmlz","baka1277","j~-","meira2003bakairi[5]","V",
"car_1p","1p; link","cari1279","ji-; j-","robayo2000avance[173]; guerrero2016karihona","V",
"car_2a","2a","cari1279","mɨ-; me-; m-","robayo2000avance[172, 173]; guerrero2016karihona","V",
"car_12p",12,"cari1279","kɨ-; ke-; k-","robayo2000avance[173]; guerrero2016karihona","V",
"car_3n","3n","cari1279","nɨ-; ne-; n-","robayo2000avance[173]; guerrero2016karihona","V",
"car_1a","3i","cari1279","i-; e-; Ø","guerrero2016karihona","V",
"car_12a","12a","cari1279","kɨse-; kɨs-","guerrero2016karihona","V",
"car_2p","2p; link","cari1279","əji-","guerrero2016karihona","V",
"car_1w","1sa","cari1279","w-","guerrero2016karihona","V",
"pc_13pro","13pro","cari1283","(ap)ina","meira2002first","V",
"pc_3i","3i","cari1283","i-","meira2010origin","V",
"pc_3pro","3pro","cari1283","(i)nərə","meira2002first[268]",,
"pc_3n","3n","cari1283","n-","meira2010origin","V","Potentially from cogset:3pro."
"pc_t","t","cari1283","tɨ-; t-","gildea2007greenberg[29]","V",
"pc_1a","1a","cari1283","t-","gildea1998","V",
"pc_1sa","1sa","cari1283","w-","gildea1998","V",
"pc_1p","1p","cari1283","u-","meira2010origin","V",
"pc_1pro","1pro","cari1283","(ə)wɨ","meira2010origin[514]",0,"Some languages added an element rc:-rə."
"pc_2p","2p; link","cari1283","ə-","meira2010origin","V",
"pc_12a","12a","cari1283","kɨt-","gildea1998","V",
"pc_2a","2a","cari1283","m-","gildea1998","V",
"pc_12",12,"cari1283","k-","gildea1998","V",
"pc_refl","refl","cari1283","e-","meira2010origin[511]","V",
"pc_recp","recp","cari1283","əte-","meira2010origin[511]","V",
"pc_link","link","cari1283","j-","meira2010origin[487]","V",
"pc_2pro","2pro","cari1283","əmə","meira2010origin[489]",,"Some languages added an element rc:-rə."
"pan_3a","3n","enap1235","nɨ-; n-","panarepayne2013[199, 201]","V","The transitive form given in src:panarepayne2013[201] is obj:ni-, but that is inaccurate."
"pan_13pro","13pro","enap1235","ana","panarepayne2013[199]",,"Bound counterpart morph:pan_13pre."
"pan_13pre","13pro","enap1235","ana-","panarepayne2013[199]",,"Free counterpart morph:pan_13pro."
"pan_3i","3i; it","enap1235","jɨ-; tj-","panarepayne2013[235]","V",
"pan_3ij","3i; link","enap1235","jɨ-; j-","panarepayne2013[235]","V",
"pan_3iw","3i; wnmlz","enap1235","jɨ-; jɨw-; jo-; ju-; ji-; i-","panarepayne2013[236]","V",
"pan_1a","1a","enap1235","tɨ-; t-","panarepayne2013[203]","V","The form given in src:panarepayne2013[201] is obj:ti-, but that is inaccurate."
"pan_1sa","1sa","enap1235","w-; wɨ-","panarepayne2013[198]","V",
"pan_1p","link","enap1235","Ø-; j-","panarepayne2013[200--201]","V","Triggers stress shift."
"pan_1w","wnmlz","enap1235","wɨ-; w-","panarepayne2013[236]","V",
"pan_1sp","link","enap1235","Ø-; j-","mattei1994diccionario","V","Not sure if this triggers stress shift, would make it formally identical to morph:pan_1p"
"pan_2p","2p; link","enap1235","aj-; a-","panarepayne2013[201]","V",
"pan_2w","2p; wnmlz","enap1235","aw-; o-","panarepayne2013[236]","V",
"pan_2a","2a","enap1235","mɨ-; m-","panarepayne2013[186]","V","Occurs with morph:pan_1p in 2>1 scenarios. The transitive form given in src:panarepayne2013[201] is obj:mi-, but that is inaccurate."
"pan_12",12,"enap1235","kɨ-; k-","panarepayne2013[201--202]","V","The form given in src:panarepayne2013[201] is obj:ki-, but that is inaccurate."
"pan_detrz","recp","enap1235","ɨt͡ʃ-; as-; əs-; ɨs-; us-; at-; ɨt-; oh-; əʔ-; uʔ-","panarepayne2013[180]","V","The allomorphs are mostly lexically conditioned (src:panarepayne2013[180])."
"pan_lk","link","enap1235","j-","panarepayne2013[25]","V; N",
"pan_2pro","2pro","enap1235","amən","panarepayne2013[88]",,
"pan_1pro","1pro","enap1235","jɨ-","panarepayne2013[88]",,"Has a free counterpart obj:ju."
"pan_sapo","sapo","enap1235","-saʔ","panarepayne2013[107--109]","V",
"pan_topo","topo","enap1235","-to","panarepayne2013[109]]","V",
"pan_agnom","ne","enap1235","-ɲe","panarepayne2013[105]","V","doubles as nominalizer and NSPEC TAM"
"pan_sup","sup","enap1235","-se","panarepayne2013[227]","V","Mainly FUT meaning, also SUP"
"pan_cont_tr","inf","enap1235","-mpəh","panarepayne2013[224]","V","also contains reflex of *poko 'occ.with';"
"pan_cont_intr","inf","enap1235","-nəpəh","panarepayne2013[224]","V","also contains reflex of *poko 'occ.with';"
"pan_inf","inf","enap1235","-nə","panarepayne2013[117]","V","infrequent"
"pan_ri","ri","enap1235","-nɨ; -n; Ø","panarepayne2013[105]","V",
"kar_3sa_exp","3ky; 3n","gali1262","kɨni-; kɨn-","courtz2008carib[34]","V","likely no umlaut"
"kar_3_exp","3ky; 3n; 3i","gali1262","kɨni-; kɨn-","courtz2008carib[34]","V","likely umlaut"
"kar_3sa","3n","gali1262","n-","courtz2008carib[78]","V","no umlaut"
"kar_3","3n; 3i","gali1262","ni-; n-","courtz2008carib[78]","V","causes umlaut"
"kar_13pro","13pro","gali1262","(n)aʔna","courtz2008carib[53]",,
"kar_3i","3i","gali1262","i-; Ø-","courtz2008carib[90]","V","With the cons:kar_psthab, there is dialectal variation. src:hoff1968carib[161] documents past habitual forms without obj:i-."
"kar_1a","1a; 3i","gali1262","si-; s-","courtz2008carib","V",
"kar_1sa","1sa","gali1262","w-","courtz2008carib","V",
"kar_1p","1p; link","gali1262","ɨj-; ɨ-","courtz2008carib","V","The form given here is a Proto-lg:kalina form, as modern varieties have either deleted initial /ɨ/, or undergone metathesis of /ɨ/ and /j/."
"kar_2p","2p; link","gali1262","aj-; a-; o-","courtz2008carib","V",
"kar_12a","12a; 3i","gali1262","kɨsi-; kɨs-","courtz2008carib[75]","V",
"kar_12sa","12a","gali1262","kɨt-","courtz2008carib[75]","V",
"kar_2a","2a; 3i","gali1262","mi-; m-","courtz2008carib","V","causes umlaut"
"kar_2sa","2a","gali1262","m-","courtz2008carib","V","no umlaut"
"kar_12",12,"gali1262","kɨ-; k-","courtz2008carib[75]","V",
"kar_detrz","refl; recp","gali1262","ot-; os-; e-; ai-; oʔ-; as-","courtz2008carib[77]","V","Some verbs show a meaning difference between obj:as- and obj:o-: obj:ene ‘to see’, obj:asene ‘to see oneself’, obj:one ‘to be visible’ (src:courtz2008carib[77])."
"kar_cor","cor","gali1262","tɨ-; t-","courtz2008carib[66]","V; N",
"kar_topo","topo","gali1262","-topo","courtz2008carib[117]","V",
"kar_agnom","ne","gali1262","-nen","courtz2008carib[116]","V",
"kar_sup","sup","gali1262","-je; -se; Ø","courtz2008carib[122]","V",
"kar_inf","inf","gali1262","-no","courtz2008carib[96--97]","V","can combine with obj:poko; TR or INTR"
"kar_ri","ri","gali1262","-rɨ","courtz2008carib[95","V",
"kar_neg","neg_adv","gali1262","-ʔpa","courtz2008carib[126--127","V",
"hix_3","3n","hixk1239","nɨ-; n-; Ø-","hixkaryanaderby1985[189]","V","causes umlaut; 3>3 is deleted phrase-initially _C"
"hix_3sa","3n","hixk1239","nɨ-; n-; Ø-","hixkaryanaderby1985[189]","V","no umlaut; 3>3 is deleted phrase-initially _C"
"hix_t","t","hixk1239","t-; t͡ʃ-; s-","hixkaryanaderby1985[192]","V",
"hix_13pro","13pro","hixk1239","amna","hixkaryanaderby1985[190]",,
"hix_3i","3i","hixk1239","ɨ-; Ø-","hixkaryanaderby1985[194]","V",
"hix_1a","1sa","hixk1239","ɨ-; w-","hixkaryanaderby1985[188]","V","causes umlaut"
"hix_1s",12,"hixk1239","kɨ-; k-","hixkaryanaderby1985[188]","V",
"hix_1p","emp","hixk1239","ro-; r-","hixkaryanaderby1985[188]","V","no umlaut. Given the presence of the linker morph:hix_lk, it is somewhat surprising that this prefix is not obj:roj-/obj:ro-:
ex:hix-34
Even if it had been there at some point, the linker does not leave umlaut traces in lg:hixka (src:meira2010origin[490])."
"hix_2p","2p; link","hixk1239","oj-; o-","hixkaryanaderby1985[189]","V",
"hix_12a","12a; 3i","hixk1239","tɨ-; t-","hixkaryanaderby1985[188]","V","causes umlaut"
"hix_12sa","12a","hixk1239","tɨ-; t-","hixkaryanaderby1985[188]","V","no umlaut"
"hix_2a","2a","hixk1239","mɨ-; m-","hixkaryanaderby1985[188]","V","causes umlaut"
"hix_2sa","2a","hixk1239","mɨ-; m-","hixkaryanaderby1985[188]","V","no umlaut"
"hix_12",12,"hixk1239","kɨ-; k-","hixkaryanaderby1985[188]","V",
"hix_detrz","refl; recp","hixk1239","e-; os-; ot-; as-; at-","hixkaryanaderby1985[223]","V",
"hix_lk","link","hixk1239","j-","hixkaryanaderby1985[188]","V; N",
"hix_1pro","1pro; emp","hixk1239","uro","hixkaryanaderby1985[188]","V",
"hix_sapo","sapo","hixk1239","-saho","hixkaryanaderby1985[232]","V",
"hix_topo","topo","hixk1239","-toho; -tho; -t͡ʃoho; -t͡ʃho","hixkaryanaderby1985[231]","V",
"hix_agnom","ne","hixk1239","-ɲe","hixkaryanaderby1985[232]","V",
"hix_sup","sup","hixk1239","-so; -ʃe","hixkaryanaderby1985[240]","V",
"hix_inf","inf","hixk1239","-no","hixkaryanaderby1985[233]","V",
"hix_ri","ri","hixk1239","-nɨrɨ; -rɨ","hixkaryanaderby1985[230]","V",
"hix_neg","neg_adv","hixk1239","-hɨra; -hra","hixkaryanaderby1985[239--240]","V; N; ADV",
"hix_negnom","neg_nom","hixk1239","-hɨnɨ; -hnɨ","hixkaryanaderby1985[233]","V",
"ikp_3sa","NA","ikpe1245","Ø-","alves2013verbo[169]","V",
"ikp_t","t","ikpe1245","tɨ-; t-","alves2013verbo[186]","V",
"ikp_13pro","13pro","ikpe1245","t͡ʃimna","ikpengpacheco2001[119]",,
"ikp_3sp","3i","ikpe1245","i-; j-; Ø","ikpengpacheco2001[52]","V",
"ikp_1sa",12,"ikpe1245","k-","alves2013verbo[205]","V",
"ikp_1a","NA; pek_1a","ikpe1245","ji-; je-; j-; in-","alves2013verbo[195]","V","obj:in- is only attested by other authors; the etymology of obj:je- is unclear"
"ikp_1sa_old","1sa","ikpe1245","ɨ-; Ø-","ikpengpacheco2001[209]","V","Only occurs on three Sa verbs."
"ikp_1p","1p; NA","ikpe1245","ɨ-; g-","alves2013verbo[195]","V; N","also POSS. The /g/ is unexpected, since lg:ikp /g/ usually comes from rc:k. The related lg:arara form is morph:ara_1p. src:meira2005southern[175] suggest a diachronic development whereby an epenthetic [ɣ] is inserted after obj:ɨ-, with subsequent deletion of obj:ɨ- and fortition to /g/. Such a development is attested in some Tupi-Guarani languages."
"ikp_2p","2p","ikpe1245","o-; a-; w-","alves2013verbo[186]","V; N","obj:a- /_Ca; obj:w- _V"
"ikp_12a","12a","ikpe1245","kut-; kut͡ʃ-; kur-; kw-","alves2013verbo[195]","V","obj:kw- before /a/ and /o/; obj:kut͡ʃ- before /i/; obj:kur- before vowels (src:alves2013verbo[180]). No umlaut."
"ikp_2a","2a","ikpe1245","mi-; me-; m-","alves2013verbo[186]","V","Wrong segmentation as obj:m-iC instead of obj:mi-C."
"ikp_2sa","2a","ikpe1245","mɨ-; m-","alves2013verbo[186]","V","The form obj:mɨ- only seems to occur with obj:ke/obj:ge ‘to say’."
"ikp_12","uku; link","ikpe1245","ugw-; wɨ-","pacheco2007morfofonologia[272]","V","Etymology of obj:wɨ- unclear so far."
"ikp_detrz","recp","ikpe1245","ot-","alves2013verbo[207]","V","There are more phonologically conditioned allomorphs"
"ikp_1on2","NA","ikpe1245","ko-; kw-; k-","alves2013verbo[171]","V","obj:kw- before /a/; changes following /e to /i/; deletes high vowels. possible connection to lg:wayana morph:way_1on2?"
"ikp_topo","topo","ikpe1245","-tup","ikpengpacheco2001[89]","V",
"ikp_agnom","ne","ikpe1245","-ni","ikpengpacheco2001[54]","V",
"ikp_sup","sup","ikpe1245","-te","ikpengpacheco2001[213]","V",
"ikp_hod","ri","ikpe1245","-lɨ","ikpengpacheco2001[80]","V",
"ikp_neg","neg_adv","ikpe1245","pra; wa","ikpengpacheco2001[91]","V; N",
"ikp_3p","3i","ikpe1245","i-; e-; Ø","alves2013verbo[186]","V",
"ing_3","3n","inga1250","nɨ-; ni-; n-","cruz2005fonologia[249]","V",
"ing_13pro","13pro","inga1250","ina","cruz2005fonologia[429]",,
"ing_3ana","NA","inga1250","an-","cruz2005fonologia[291]","V",
"ing_3imp","3i","inga1250","i-; Ø-","cruz2005fonologia[291--292]","V",
"ing_3i","3i; link","inga1250","i-; j-","cruz2005fonologia[146]","V",
"ing_3iw","3i; wnmlz","inga1250","ij-; i-","cruz2005fonologia[146]","V","For a similar development of rc:i-w- in Taranoan, see src:meira1998proto[39--40]"
"ing_1a","1a","inga1250","tɨ-; t-","cruz2005fonologia[263]","V",
"ing_1s","1sa","inga1250","w-; u-","cruz2005fonologia[244]","V",
"ing_1p","1p; link","inga1250","uj-; j-; u-; Ø","cruz2005fonologia[244]","V; N","src:cruz2005fonologia gives a conflicting account about whether 2>1 scenarios employ a different marker than 3>1 scenarios; the only potential difference would be that the former does not allow deletion of /u/, but the latter does. Given the distribution of morph:ing_2p (3>2, 1>2, 2P), I have decided to analyze the forms occurring in 2>1 and 3>1 (and 1P) as the same marker."
"ing_1on2","NA; link","inga1250","kənj-; kən-","cruz2005fonologia[262]","V",
"ing_1w","wnmlz","inga1250","w-; u-","cruz2005fonologia[244]","V",
"ing_2p","2p; link","inga1250","əj-; ə-; aj-; a-; ej-; e-","cruz2005fonologia[244]","V; N",
"ing_2w","2p; wnmlz","inga1250","əw-; ə-","cruz2005fonologia[244]","V",
"ing_2a","2a","inga1250","mɨ-; m-","cruz2005fonologia[259]","V",
"ing_12","uku; link","inga1250","kuj-; ku-; k-","cruz2005fonologia[244]","V; N",
"ing_12w","uku","inga1250","kuw-; ku-","cruz2005fonologia[244]","V",
"ing_detrz","refl; recp","inga1250","eʔ-; es-; eʔ-; ə-; e-; s-","cruz2005fonologia[307]","V",
"ing_3it","it","inga1250","it-; i-","cruz2005fonologia[144]","N",
"ing_3an","an","inga1250","an-","cruz2005fonologia[291]","V","variation with ing_3i in imperatives"
"ing_sapo","sapo","inga1250","-saʔ","cruz2005fonologia[407]","V",
"ing_topo","topo","inga1250","-toʔ","cruz2005fonologia[210]","V",
"ing_agnom","ne","inga1250","-nin","cruz2005fonologia[401]","V",
"ing_sup","sup","inga1250","-seʔna","cruz2005fonologia[282]","V",
"ing_inf","inf","inga1250","-n","cruz2005fonologia[212]","V",
"ing_ri","ri","inga1250","Ø","gildea1998","V",
"kax_3i","3i","kaxu1237","i-; Ø-","schuring2018kaxuyana[70]","V; N","causes umlaut"
"kax_3t","t","kaxu1237","tɨ-; t-; t͡ʃ-","schuring2018kaxuyana[46]","V",
"kax_topo","topo","kaxu1237","-toho","gildea1998[120]","V",
"kax_agnom","ne","kaxu1237","-ne","schuring2018kaxuyana[46]","V",
"kax_sup","sup","kaxu1237","-so; -t͡ʃi","waiwaihawkins1998[202]","V",
"kax_ri","ri","kaxu1237","-rɨ","gildea1998","V",
"kax_neg","neg_adv","kaxu1237","-pɨra; -hɨra","schuring2018kaxuyana[37]","V",
"kax_negnom","neg_nom","kaxu1237","-pɨnɨ; -hɨnɨ","schuring2018kaxuyana[45]","V",
"kax_1a","1sa; 3i","kaxu1237","wɨ-; w-","schuring2018kaxuyana[85]","V","causes umlaut"
"kax_1sa","1sa","kaxu1237","wɨ-; w-","schuring2018kaxuyana[85]","V","no umlaut"
"kax_1p","1p","kaxu1237","j-; Ø","schuring2018kaxuyana[85]","V",
"kax_1sp",12,"kaxu1237","kɨ-; k-","schuring2018kaxuyana[85]","V",
"kax_12a","12a; 3i","kaxu1237","kɨt͡ʃ-; kɨt-","schuring2018kaxuyana[85]","V","causes umlaut, also in some Sp verbs"
"kax_12",12,"kaxu1237","kɨ-; k-","schuring2018kaxuyana[85]","V","no umlaut, other Sp verbs"
